row_type,asset_name,campaign_id,deleted,audience_member_key,audience_member_key_type,visits,unique_visitors,total_clicks,avg_time_seconds,subcategory_clicks,last_click_at
audience_member,Database Customer Campaign V1,800d5ace-0972-4a76-aac2-bcbab091fcad,false,nike.com,domain,,,,,1,2026-01-17 02:54
audience_member,Database Customer Campaign V1,800d5ace-0972-4a76-aac2-bcbab091fcad,false,usbank.com,domain,,,,,1,2026-01-24 18:55
asset,Database Customer Campaign- Default Page,0a943fc4-d080-4034-bfba-b6bc95559f1e,false,,,1432,1360,192,9.9,,
audience_member,Database Customer Campaign- Default Page,0a943fc4-d080-4034-bfba-b6bc95559f1e,false,solarwinds.com,domain,,,,,403,2026-03-04 18:50
asset,Database Demo Landing Page,5091e8d9-9cf8-423f-be23-2ab1bf6fef0b,false,,,5,2,20,55.0,,
audience_member,Database Generic Campaign_Tony,bea59811-8129-49e2-874d-faa3e95d79c2,false,solarwinds.com,domain,,,,,2,2026-01-26 16:05
asset,New Logo Observability - Default Page,00b82130-8a5f-4d89-b6cf-c0198139de38,false,,,127,123,9,5.7,,
audience_member,New Logo Observability - Default Page,00b82130-8a5f-4d89-b6cf-c0198139de38,false,solarwinds.com,domain,,,,,92,2026-02-22 01:39
asset,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,,,50,47,20,20.8,,
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,sherwin-williams.com,domain,,,,,3,2026-01-19 05:43
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,mortonsalt.com,domain,,,,,3,2026-01-01 14:50
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,rinnai.us,domain,,,,,3,2026-01-14 12:39
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,ford.com,domain,,,,,3,2026-01-20 03:06
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,bp.guardian.com,domain,,,,,2,2026-01-07 21:58
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,bozzuto.com,domain,,,,,2,2026-02-10 01:19
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,godaddy.com,domain,,,,,2,2026-02-12 20:33
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,qdoba.com,domain,,,,,1,2026-01-08 00:42
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,anduril.com,domain,,,,,1,2026-01-25 16:45
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,umb.com,domain,,,,,1,2026-01-25 00:45
audience_member,New Logo Pain Points,36b9be42-2af2-4802-aad0-329cff575c44,false,albertsons.com,domain,,,,,1,2026-01-03 00:47
asset,Observability AI Landing Page,f56281ef-6eb9-41e3-a75f-6010f42e799d,false,,,2,2,0,2.7,,
asset,Observability Customer Expansion 1:Many,9d46a737-b9e8-42a3-b0df-0efbbddff678,false,,,461,424,129,13.2,,
asset,Observability Demo Video,7ec38bec-5a6f-47c6-b816-636c4e985a87,false,,,152,148,84,10.5,,
asset,Regional SolarWinds 250,6b3154cf-bd9a-48e4-9d35-885b57e42705,false,,,12,6,0,20.8,,
audience_member,Regional SolarWinds 250,6b3154cf-bd9a-48e4-9d35-885b57e42705,false,solarwinds.com,domain,,,,,29,2026-02-20 14:26
